Motif Number,C11,C21,C31,C41,C12,C22,C32,C42,C13,C23,C33,C43,C14,C24,C34,C44,x_o,y1_o,y2_o,z_o,T,T1,min_alpha,max_alpha,min_kappa,max_kappa,basal_e,t_duration,n_sampling,max_s,eta_t3
89,0,-1,-1,-1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
90,0,-1,-1,-1,0,0,1,0,1,1,0,-1,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
91,0,-1,-1,-1,0,0,1,0,1,1,0,-1,1,1,0,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
92,0,-1,-1,-1,0,0,1,0,1,1,0,-1,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
93,0,-1,-1,-1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
94,0,-1,-1,-1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
95,0,-1,-1,-1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
96,0,-1,-1,-1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
97,0,-1,-1,-1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
98,0,-1,-1,-1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
99,0,-1,-1,-1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
100,0,-1,-1,-1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
101,0,-1,-1,-1,0,0,1,1,1,1,0,-1,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
102,0,-1,-1,-1,0,0,1,1,1,1,0,-1,1,1,0,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
103,0,-1,-1,-1,0,0,1,1,1,1,0,-1,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
104,0,-1,-1,-1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
105,0,-1,-1,-1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
106,0,-1,-1,-1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
107,0,-1,-1,-1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
108,0,-1,-1,-1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
109,0,-1,-1,-1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
110,0,-1,-1,-1,1,0,1,-1,1,1,0,-1,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
111,0,-1,-1,-1,1,0,1,-1,1,1,0,-1,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
112,0,-1,-1,-1,1,0,1,-1,1,1,0,0,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
113,0,-1,-1,-1,1,0,1,-1,1,1,0,0,1,1,0,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
114,0,-1,-1,-1,1,0,1,-1,1,1,0,0,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
115,0,-1,-1,-1,1,0,1,-1,1,1,0,1,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
116,0,-1,-1,-1,1,0,1,-1,1,1,0,1,1,1,0,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
117,0,-1,-1,-1,1,0,1,-1,1,1,0,1,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
118,0,-1,-1,-1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
119,0,-1,-1,-1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
120,0,-1,-1,-1,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
121,0,-1,-1,-1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
122,0,-1,-1,-1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
123,0,-1,-1,-1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
124,0,-1,-1,-1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
125,0,-1,-1,0,-1,0,1,-1,-1,1,0,-1,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
126,0,-1,-1,0,-1,0,1,-1,-1,1,0,-1,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
127,0,-1,-1,0,-1,0,1,-1,-1,1,0,0,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
128,0,-1,-1,0,-1,0,1,-1,-1,1,0,0,1,1,0,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
129,0,-1,-1,0,-1,0,1,-1,-1,1,0,0,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
130,0,-1,-1,0,-1,0,1,-1,-1,1,0,1,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
131,0,-1,-1,0,-1,0,1,-1,-1,1,0,1,1,1,0,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
132,0,-1,-1,0,-1,0,1,-1,-1,1,0,1,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
133,0,-1,-1,0,-1,0,1,-1,0,1,0,-1,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
134,0,-1,-1,0,-1,0,1,-1,0,1,0,-1,1,1,0,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
135,0,-1,-1,0,-1,0,1,-1,0,1,0,-1,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
136,0,-1,-1,0,-1,0,1,-1,0,1,0,0,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
137,0,-1,-1,0,-1,0,1,-1,0,1,0,0,1,1,0,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
138,0,-1,-1,0,-1,0,1,-1,0,1,0,0,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
139,0,-1,-1,0,-1,0,1,-1,0,1,0,1,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
140,0,-1,-1,0,-1,0,1,-1,0,1,0,1,1,1,0,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
141,0,-1,-1,0,-1,0,1,-1,0,1,0,1,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
142,0,-1,-1,0,-1,0,1,-1,1,1,0,-1,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
143,0,-1,-1,0,-1,0,1,-1,1,1,0,-1,1,1,0,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
144,0,-1,-1,0,-1,0,1,-1,1,1,0,-1,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
145,0,-1,-1,0,-1,0,1,-1,1,1,0,0,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
146,0,-1,-1,0,-1,0,1,-1,1,1,0,0,1,1,0,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
147,0,-1,-1,0,-1,0,1,-1,1,1,0,0,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
148,0,-1,-1,0,-1,0,1,-1,1,1,0,1,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
149,0,-1,-1,0,-1,0,1,-1,1,1,0,1,1,1,0,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
150,0,-1,-1,0,-1,0,1,-1,1,1,0,1,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
151,0,-1,-1,0,-1,0,1,0,-1,1,0,0,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
152,0,-1,-1,0,-1,0,1,0,-1,1,0,0,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
153,0,-1,-1,0,-1,0,1,0,-1,1,0,1,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
154,0,-1,-1,0,-1,0,1,0,-1,1,0,1,1,1,0,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
155,0,-1,-1,0,-1,0,1,0,-1,1,0,1,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
156,0,-1,-1,0,-1,0,1,0,0,1,0,-1,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
157,0,-1,-1,0,-1,0,1,0,0,1,0,-1,1,1,0,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
158,0,-1,-1,0,-1,0,1,0,0,1,0,-1,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
159,0,-1,-1,0,-1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
160,0,-1,-1,0,-1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
161,0,-1,-1,0,-1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
162,0,-1,-1,0,-1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
163,0,-1,-1,0,-1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
164,0,-1,-1,0,-1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
165,0,-1,-1,0,-1,0,1,0,1,1,0,-1,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
166,0,-1,-1,0,-1,0,1,0,1,1,0,-1,1,1,0,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
167,0,-1,-1,0,-1,0,1,0,1,1,0,-1,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
168,0,-1,-1,0,-1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
169,0,-1,-1,0,-1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
170,0,-1,-1,0,-1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
171,0,-1,-1,0,-1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
172,0,-1,-1,0,-1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
173,0,-1,-1,0,-1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
